sentence|card
late Norse mythology included Jörð ('Earth'), a giantess often given as the mother of Thor.Historically, earth has been written in lowercase|earth
"From early Middle English, its definite sense as ""the globe"" was expressed as the earth"|earth
By Early Modern English, many nouns were capitalized, and the earth was also written the Earth, particularly when referenced along with other heavenly bodies|earth
More recently, the name is sometimes simply given as Earth, by analogy with the names of the other planets, though earth and forms with the remain common|earth
House styles now vary|earth
Oxford spelling recognizes the lowercase form as the most common, with the capitalized form an acceptable variant|earth
"Another convention capitalizes ""Earth"" when appearing as a name (for example, ""Earth's atmosphere"") but writes it in lowercase when preceded by the (for example, ""the atmosphere of the earth"")"|earth
"It almost always appears in lowercase in colloquial expressions such as ""what on earth are you doing?""Occasionally, the name Terra  is used in scientific writing and especially in science fiction to distinguish humanity's inhabited planet from others, while in poetry Tellus  has been used to denote personification of the Earth"|earth
Terra is also the name of the planet in some Romance languages (languages that evolved from Latin) like Italian and Portuguese, while in other Romance languages the word gave rise to names with slightly altered spellings (like the Spanish Tierra and the French Terre)|earth
The Latinate form Gæa or Gaea (English|earth
) of the Greek poetic name Gaia (Γαῖα; Ancient Greek|earth
[ɡâi̯.a] or [ɡâj.ja]) is rare, though the alternative spelling Gaia has become common due to the Gaia hypothesis, in which case its pronunciation is  rather than the more classical English .There are a number of adjectives for the planet Earth|earth
From Earth itself comes earthly|earth
From the Latin Terra comes terran , terrestrial , and (via French) terrene , and from the Latin Tellus comes tellurian  and telluric.|earth
The oldest material found in the Solar System is dated to 4.5682+0.0002−0.0004 Ga (billion years) ago|earth
By 4.54±0.04 Ga the primordial Earth had formed|earth
The bodies in the Solar System formed and evolved with the Sun|earth
In theory, a solar nebula partitions a volume out of a molecular cloud by gravitational collapse, which begins to spin and flatten into a circumstellar disk, and then the planets grow out of that disk with the Sun|earth
A nebula contains gas, ice grains, and dust (including primordial nuclides)|earth
According to nebular theory, planetesimals formed by accretion, with the primordial Earth being estimated as likely taking anywhere from 70 to 100 million years to form.Estimates of the age of the Moon range from 4.5 Ga to significantly younger|earth
A leading hypothesis is that it was formed by accretion from material loosed from Earth after a Mars-sized object with about 10% of Earth's mass, named Theia, collided with Earth|earth
It hit Earth with a glancing blow and some of its mass merged with Earth|earth
Between approximately 4.1 and 3.8 Ga, numerous asteroid impacts during the Late Heavy Bombardment caused significant changes to the greater surface environment of the Moon and, by inference, to that of Earth.|earth
Earth's atmosphere and oceans were formed by volcanic activity and outgassing|earth
Water vapor from these sources condensed into the oceans, augmented by water and ice from asteroids, protoplanets, and comets|earth
Sufficient water to fill the oceans may have been on Earth since it formed|earth
In this model, atmospheric greenhouse gases kept the oceans from freezing when the newly forming Sun had only 70% of its current luminosity|earth
By 3.5 Ga, Earth's magnetic field was established, which helped prevent the atmosphere from being stripped away by the solar wind.As the molten outer layer of Earth cooled it formed the first solid crust, which is thought to have been mafic in composition|earth
The first continental crust, which was more felsic in composition, formed by the partial melting of this mafic crust|earth
The presence of grains of the mineral zircon of Hadean age in Eoarchean sedimentary rocks suggests that at least some felsic crust existed as early as 4.4 Ga, only 140 Ma after Earth's formation|earth
There are two main models of how this initial small volume of continental crust evolved to reach its current abundance|earth
(1) a relatively steady growth up to the present day, which is supported by the radiometric dating of continental crust globally and (2) an initial rapid growth in the volume of continental crust during the Archean, forming the bulk of the continental crust that now exists, which is supported by isotopic evidence from hafnium in zircons and neodymium in sedimentary rocks|earth
The two models and the data that support them can be reconciled by large-scale recycling of the continental crust, particularly during the early stages of Earth's history.New continental crust forms as a result of plate tectonics, a process ultimately driven by the continuous loss of heat from Earth's interior|earth
Over the period of hundreds of millions of years, tectonic forces have caused areas of continental crust to group together to form supercontinents that have subsequently broken apart|earth
At approximately 750 Ma, one of the earliest known supercontinents, Rodinia, began to break apart|earth
The continents later recombined to form Pannotia at 600–540 Ma, then finally Pangaea, which also began to break apart at 180 Ma.The most recent pattern of ice ages began about 40 Ma, and then intensified during the Pleistocene about 3 Ma|earth
High- and middle-latitude regions have since undergone repeated cycles of glaciation and thaw, repeating about every 21,000, 41,000 and 100,000 years|earth
"The Last Glacial Period, colloquially called the ""last ice age"", covered large parts of the continents, up to the middle latitudes, in ice and ended about 11,700 years ago."|earth
Chemical reactions led to the first self-replicating molecules about four billion years ago|earth
A half billion years later, the last common ancestor of all current life arose|earth
The evolution of photosynthesis allowed the Sun's energy to be harvested directly by life forms|earth
The resultant molecular oxygen (O2) accumulated in the atmosphere and due to interaction with ultraviolet solar radiation, formed a protective ozone layer (O3) in the upper atmosphere|earth
The incorporation of smaller cells within larger ones resulted in the development of complex cells called eukaryotes|earth
True multicellular organisms formed as cells within colonies became increasingly specialized|earth
Aided by the absorption of harmful ultraviolet radiation by the ozone layer, life colonized Earth's surface|earth
Among the earliest fossil evidence for life is microbial mat fossils found in 3.48 billion-year-old sandstone in Western Australia, biogenic graphite found in 3.7 billion-year-old metasedimentary rocks in Western Greenland, and remains of biotic material found in 4.1 billion-year-old rocks in Western Australia|earth
The earliest direct evidence of life on Earth is contained in 3.45 billion-year-old Australian rocks showing fossils of microorganisms.During the Neoproterozoic, 1000 to 541 Ma, much of Earth might have been covered in ice|earth
"This hypothesis has been termed ""Snowball Earth"", and it is of particular interest because it preceded the Cambrian explosion, when multicellular life forms significantly increased in complexity"|earth
Following the Cambrian explosion, 535 Ma, there have been at least five major mass extinctions and many minor ones|earth
Apart from the proposed current Holocene extinction event, the most recent was 66 Ma, when an asteroid impact triggered the extinction of the non-avian dinosaurs and other large reptiles, but largely spared small animals such as insects, mammals, lizards and birds|earth
Mammalian life has diversified over the past 66 Mys, and several million years ago an African ape gained the ability to stand upright|earth
This facilitated tool use and encouraged communication that provided the nutrition and stimulation needed for a larger brain, which led to the evolution of humans|earth
The development of agriculture, and then civilization, led to humans having an influence on Earth and the nature and quantity of other life forms that continues to this day.|earth
Because carbon dioxide (CO2) has a long lifespan in the atmosphere, moderate human CO2 emissions may postpone the next glacial inception by 100,000 years.Earth's expected long-term future is tied to that of the Sun|earth
Over the next 1.1 billion years, solar luminosity will increase by 10%, and over the next 3.5 billion years by 40%|earth
Earth's increasing surface temperature will accelerate the inorganic carbon cycle, reducing CO2 concentration to levels lethally low for plants (10 ppm for C4 photosynthesis) in approximately 100–900 million years|earth
The lack of vegetation will result in the loss of oxygen in the atmosphere, making animal life impossible|earth
Due to the increased luminosity, Earth's mean temperature may reach 100 °C (212 °F) in 1.5 billion years, and all ocean water will evaporate and be lost to space, which may trigger a runaway greenhouse effect, within an estimated 1.6 to 3 billion years|earth
Even if the Sun were stable, a fraction of the water in the modern oceans will descend to the mantle, due to reduced steam venting from mid-ocean ridges.The Sun will evolve to become a red giant in about 5 billion years|earth
Models predict that the Sun will expand to roughly 1 AU (150 million km; 93 million mi), about 250 times its present radius|earth
Earth's fate is less clear|earth
As a red giant, the Sun will lose roughly 30% of its mass, so, without tidal effects, Earth will move to an orbit 1.7 AU (250 million km; 160 million mi) from the Sun when the star reaches its maximum radius, otherwise, with tidal effects, it may enter the Sun's atmosphere and be vaporized.|earth
The shape of Earth is nearly spherical|earth
There is a small flattening at the poles and bulging around the equator due to Earth's rotation|earth
Therefore, a better approximation of Earth's shape is an oblate spheroid, whose equatorial diameter is 43 kilometres (27 mi) larger than the pole-to-pole diameter.The average diameter of the reference spheroid is 12,742 kilometres (7,918 mi)|earth
Local topography deviates from this idealized spheroid, although on a global scale these deviations are small compared to Earth's radius|earth
the maximum deviation of only 0.17% is at the Mariana Trench (10,925 metres or 35,843 feet below local sea level), whereas Mount Everest (8,848 metres or 29,029 feet above local sea level) represents a deviation of 0.14%|earth
The point on the surface farthest from Earth's center of mass is the summit of the equatorial Chimborazo volcano in Ecuador (6,384.4 km or 3,967.1 mi).In geodesy, the exact shape that Earth's oceans would adopt in the absence of land and perturbations such as tides and winds is called the geoid|earth
More precisely, the geoid is the surface of gravitational equipotential at mean sea level (MSL).Sea surface topography are water deviations from MSL, analogous to land topography.|earth
Earth's mass is approximately 5.97×1024 kg (5,970 Yg)|earth
It is composed mostly of iron (32.1%), oxygen (30.1%), silicon (15.1%), magnesium (13.9%), sulfur (2.9%), nickel (1.8%), calcium (1.5%), and aluminum (1.4%), with the remaining 1.2% consisting of trace amounts of other elements|earth
Due to mass segregation, the core region is estimated to be primarily composed of iron (88.8%), with smaller amounts of nickel (5.8%), sulfur (4.5%), and less than 1% trace elements.The most common rock constituents of the crust are nearly all oxides|earth
chlorine, sulfur, and fluorine are the important exceptions to this and their total amount in any rock is usually much less than 1%|earth
Over 99% of the crust is composed of 11 oxides, principally silica, alumina, iron oxides, lime, magnesia, potash, and soda.|earth
Earth's interior, like that of the other terrestrial planets, is divided into layers by their chemical or physical (rheological) properties|earth
The outer layer is a chemically distinct silicate solid crust, which is underlain by a highly viscous solid mantle|earth
The crust is separated from the mantle by the Mohorovičić discontinuity|earth
The thickness of the crust varies from about 6 kilometres (3.7 mi) under the oceans to 30–50 km (19–31 mi) for the continents|earth
The crust and the cold, rigid, top of the upper mantle are collectively known as the lithosphere, which is divided into independently moving tectonic plates.Beneath the lithosphere is the asthenosphere, a relatively low-viscosity layer on which the lithosphere rides|earth
Important changes in crystal structure within the mantle occur at 410 and 660 km (250 and 410 mi) below the surface, spanning a transition zone that separates the upper and lower mantle|earth
Beneath the mantle, an extremely low viscosity liquid outer core lies above a solid inner core|earth
Earth's inner core may be rotating at a slightly higher angular velocity than the remainder of the planet, advancing by 0.1–0.5° per year, although both somewhat higher and much lower rates have also been proposed|earth
The radius of the inner core is about one-fifth of that of Earth.|earth
The major heat-producing isotopes within Earth are potassium-40, uranium-238, and thorium-232|earth
At the center, the temperature may be up to 6,000 °C (10,830 °F), and the pressure could reach 360 GPa (52 million psi)|earth
Because much of the heat is provided by radioactive decay, scientists postulate that early in Earth's history, before isotopes with short half-lives were depleted, Earth's heat production was much higher|earth
At approximately 3 Gyr, twice the present-day heat would have been produced, increasing the rates of mantle convection and plate tectonics, and allowing the production of uncommon igneous rocks such as komatiites that are rarely formed today.|earth
The mean heat loss from Earth is 87 mW m−2, for a global heat loss of 4.42×1013 W|earth
A portion of the core's thermal energy is transported toward the crust by mantle plumes, a form of convection consisting of upwellings of higher-temperature rock|earth
These plumes can produce hotspots and flood basalts|earth
More of the heat in Earth is lost through plate tectonics, by mantle upwelling associated with mid-ocean ridges|earth
The final major mode of heat loss is through conduction through the lithosphere, the majority of which occurs under the oceans because the crust there is much thinner than that of the continents.|earth
Earth's mechanically rigid outer layer, the lithosphere, is divided into tectonic plates|earth
These plates are rigid segments that move relative to each other at one of three boundaries types|earth
at convergent boundaries, two plates come together; at divergent boundaries, two plates are pulled apart; and at transform boundaries, two plates slide past one another laterally|earth
Along these plate boundaries, earthquakes, volcanic activity, mountain-building, and oceanic trench formation can occur|earth
The tectonic plates ride on top of the asthenosphere, the solid but less-viscous part of the upper mantle that can flow and move along with the plates.As the tectonic plates migrate, oceanic crust is subducted under the leading edges of the plates at convergent boundaries|earth
At the same time, the upwelling of mantle material at divergent boundaries creates mid-ocean ridges|earth
The combination of these processes recycles the oceanic crust back into the mantle|earth
Due to this recycling, most of the ocean floor is less than 100 Ma old|earth
The oldest oceanic crust is located in the Western Pacific and is estimated to be 200 Ma old|earth
By comparison, the oldest dated continental crust is 4,030 Ma, although zircons have been found preserved as clasts within Eoarchean sedimentary rocks that give ages up to 4,400 Ma, indicating that at least some continental crust existed at that time.The seven major plates are the Pacific, North American, Eurasian, African, Antarctic, Indo-Australian, and South American|earth
Other notable plates include the Arabian Plate, the Caribbean Plate, the Nazca Plate off the west coast of South America and the Scotia Plate in the southern Atlantic Ocean|earth
The Australian Plate fused with the Indian Plate between 50 and 55 Ma|earth
The fastest-moving plates are the oceanic plates, with the Cocos Plate advancing at a rate of 75 mm/a (3.0 in/year) and the Pacific Plate moving 52–69 mm/a (2.0–2.7 in/year)|earth
At the other extreme, the slowest-moving plate is the South American Plate, progressing at a typical rate of 10.6 mm/a (0.42 in/year).|earth
The total surface area of Earth is about 510 million km2 (197 million sq mi)|earth
Of this, 70.8%, or 361.13 million km2 (139.43 million sq mi), is below sea level and covered by ocean water|earth
Below the ocean's surface are much of the continental shelf, mountains, volcanoes, oceanic trenches, submarine canyons, oceanic plateaus, abyssal plains, and a globe-spanning mid-ocean ridge system|earth
The remaining 29.2%, or 148.94 million km2 (57.51 million sq mi), not covered by water has terrain that varies greatly from place to place and consists of mountains, deserts, plains, plateaus, and other landforms|earth
The elevation of the land surface varies from the low point of −418 m (−1,371 ft) at the Dead Sea, to a maximum altitude of 8,848 m (29,029 ft) at the top of Mount Everest|earth
The mean height of land above sea level is about 797 m (2,615 ft).The continental crust consists of lower density material such as the igneous rocks granite and andesite|earth
Less common is basalt, a denser volcanic rock that is the primary constituent of the ocean floors|earth
Sedimentary rock is formed from the accumulation of sediment that becomes buried and compacted together|earth
Nearly 75% of the continental surfaces are covered by sedimentary rocks, although they form about 5% of the crust|earth
The third form of rock material found on Earth is metamorphic rock, which is created from the transformation of pre-existing rock types through high pressures, high temperatures, or both|earth
The most abundant silicate minerals on Earth's surface include quartz, feldspars, amphibole, mica, pyroxene and olivine|earth
Common carbonate minerals include calcite (found in limestone) and dolomite.Erosion and tectonics, volcanic eruptions, flooding, weathering, glaciation, the growth of coral reefs, and meteorite impacts are among the processes that constantly reshape Earth's surface over geological time.The pedosphere is the outermost layer of Earth's continental surface and is composed of soil and subject to soil formation processes|earth
The total arable land is 10.9% of the land surface, with 1.3% being permanent cropland|earth
Close to 40% of Earth's land surface is used for agriculture, or an estimated 16.7 million km2 (6.4 million sq mi) of cropland and 33.5 million km2 (12.9 million sq mi) of pastureland.|earth
The gravity of Earth is the acceleration that is imparted to objects due to the distribution of mass within Earth|earth
Near Earth's surface, gravitational acceleration is approximately 9.8 m/s2 (32 ft/s2)|earth
Local differences in topography, geology, and deeper tectonic structure cause local and broad, regional differences in Earth's gravitational field, known as gravity anomalies.|earth
The main part of Earth's magnetic field is generated in the core, the site of a dynamo process that converts the kinetic energy of thermally and compositionally driven convection into electrical and magnetic field energy|earth
The field extends outwards from the core, through the mantle, and up to Earth's surface, where it is, approximately, a dipole|earth
The poles of the dipole are located close to Earth's geographic poles|earth
At the equator of the magnetic field, the magnetic-field strength at the surface is 3.05×10−5 T, with a magnetic dipole moment of 7.79×1022 Am2 at epoch 2000, decreasing nearly 6% per century|earth
The convection movements in the core are chaotic; the magnetic poles drift and periodically change alignment|earth
This causes secular variation of the main field and field reversals at irregular intervals averaging a few times every million years|earth
The most recent reversal occurred approximately 700,000 years ago.|earth
The extent of Earth's magnetic field in space defines the magnetosphere|earth
Ions and electrons of the solar wind are deflected by the magnetosphere; solar wind pressure compresses the dayside of the magnetosphere, to about 10 Earth radii, and extends the nightside magnetosphere into a long tail|earth
Because the velocity of the solar wind is greater than the speed at which waves propagate through the solar wind, a supersonic bow shock precedes the dayside magnetosphere within the solar wind|earth
Charged particles are contained within the magnetosphere; the plasmasphere is defined by low-energy particles that essentially follow magnetic field lines as Earth rotates|earth
The ring current is defined by medium-energy particles that drift relative to the geomagnetic field, but with paths that are still dominated by the magnetic field, and the Van Allen radiation belts are formed by high-energy particles whose motion is essentially random, but contained in the magnetosphere.During magnetic storms and substorms, charged particles can be deflected from the outer magnetosphere and especially the magnetotail, directed along field lines into Earth's ionosphere, where atmospheric atoms can be excited and ionized, causing the aurora.|earth
Earth's rotation period relative to the Sun—its mean solar day—is 86,400 seconds of mean solar time (86,400.0025 SI seconds)|earth
Because Earth's solar day is now slightly longer than it was during the 19th century due to tidal deceleration, each day varies between 0 and 2 ms longer than the mean solar day.Earth's rotation period relative to the fixed stars, called its stellar day by the International Earth Rotation and Reference Systems Service (IERS), is 86,164.0989 seconds of mean solar time (UT1), or 23h 56m 4.0989s|earth
Earth's rotation period relative to the precessing or moving mean March equinox (when the Sun is at 90° on the equator), is 86,164.0905 seconds of mean solar time (UT1) (23h 56m 4.0905s)|earth
Thus the sidereal day is shorter than the stellar day by about 8.4 ms.Apart from meteors within the atmosphere and low-orbiting satellites, the main apparent motion of celestial bodies in Earth's sky is to the west at a rate of 15°/h = 15'/min|earth
For bodies near the celestial equator, this is equivalent to an apparent diameter of the Sun or the Moon every two minutes; from Earth's surface, the apparent sizes of the Sun and the Moon are approximately the same.|earth
Earth orbits the Sun at an average distance of about 150 million km (93 million mi) every 365.2564 mean solar days, or one sidereal year|earth
This gives an apparent movement of the Sun eastward with respect to the stars at a rate of about 1°/day, which is one apparent Sun or Moon diameter every 12 hours|earth
Due to this motion, on average it takes 24 hours—a solar day—for Earth to complete a full rotation about its axis so that the Sun returns to the meridian|earth
The orbital speed of Earth averages about 29.78 km/s (107,200 km/h; 66,600 mph), which is fast enough to travel a distance equal to Earth's diameter, about 12,742 km (7,918 mi), in seven minutes, and the distance to the Moon, 384,000 km (239,000 mi), in about 3.5 hours.The Moon and Earth orbit a common barycenter every 27.32 days relative to the background stars|earth
When combined with the Earth-Moon system's common orbit around the Sun, the period of the synodic month, from new moon to new moon, is 29.53 days|earth
Viewed from the celestial north pole, the motion of Earth, the Moon, and their axial rotations are all counterclockwise|earth
Viewed from a vantage point above the Sun and Earth's north poles, Earth orbits in a counterclockwise direction about the Sun|earth
The orbital and axial planes are not precisely aligned|earth
Earth's axis is tilted some 23.44 degrees from the perpendicular to the Earth-Sun plane (the ecliptic), and the Earth-Moon plane is tilted up to ±5.1 degrees against the Earth-Sun plane|earth
Without this tilt, there would be an eclipse every two weeks, alternating between lunar eclipses and solar eclipses.The Hill sphere, or the sphere of gravitational influence, of Earth is about 1.5 million km (930,000 mi) in radius|earth
This is the maximum distance at which Earth's gravitational influence is stronger than the more distant Sun and planets|earth
Objects must orbit Earth within this radius, or they can become unbound by the gravitational perturbation of the Sun.Earth, along with the Solar System, is situated in the Milky Way and orbits about 28,000 light-years from its center|earth
It is about 20 light-years above the galactic plane in the Orion Arm.|earth
The axial tilt of Earth is approximately 23.439281° with the axis of its orbit plane, always pointing towards the Celestial Poles|earth
Due to Earth's axial tilt, the amount of sunlight reaching any given point on the surface varies over the course of the year|earth
This causes the seasonal change in climate, with summer in the Northern Hemisphere occurring when the Tropic of Cancer is facing the Sun, and in the Southern Hemisphere when the Tropic of Capricorn faces the Sun|earth
In each instance, winter occurs simultaneously in the opposite hemisphere|earth
During the summer, the day lasts longer, and the Sun climbs higher in the sky|earth
In winter, the climate becomes cooler and the days shorter|earth
Above the Arctic Circle and below the Antarctic Circle there is no daylight at all for part of the year, causing a polar night, and this night extends for several months at the poles themselves|earth
These same latitudes also experience a midnight sun, where the sun remains visible all day.By astronomical convention, the four seasons can be determined by the solstices—the points in the orbit of maximum axial tilt toward or away from the Sun—and the equinoxes, when Earth's rotational axis is aligned with its orbital axis|earth
In the Northern Hemisphere, winter solstice currently occurs around 21 December; summer solstice is near 21 June, spring equinox is around 20 March and autumnal equinox is about 22 or 23 September|earth
In the Southern Hemisphere, the situation is reversed, with the summer and winter solstices exchanged and the spring and autumnal equinox dates swapped.The angle of Earth's axial tilt is relatively stable over long periods of time|earth
Its axial tilt does undergo nutation; a slight, irregular motion with a main period of 18.6 years|earth
The orientation (rather than the angle) of Earth's axis also changes over time, precessing around in a complete circle over each 25,800-year cycle; this precession is the reason for the difference between a sidereal year and a tropical year|earth
Both of these motions are caused by the varying attraction of the Sun and the Moon on Earth's equatorial bulge|earth
The poles also migrate a few meters across Earth's surface|earth
This polar motion has multiple, cyclical components, which collectively are termed quasiperiodic motion|earth
In addition to an annual component to this motion, there is a 14-month cycle called the Chandler wobble|earth
Earth's rotational velocity also varies in a phenomenon known as length-of-day variation.In modern times, Earth's perihelion occurs around 3 January, and its aphelion around 4 July|earth
These dates change over time due to precession and other orbital factors, which follow cyclical patterns known as Milankovitch cycles|earth
The changing Earth-Sun distance causes an increase of about 6.8% in solar energy reaching Earth at perihelion relative to aphelion|earth
Because the Southern Hemisphere is tilted toward the Sun at about the same time that Earth reaches the closest approach to the Sun, the Southern Hemisphere receives slightly more energy from the Sun than does the northern over the course of a year|earth
This effect is much less significant than the total energy change due to the axial tilt, and most of the excess energy is absorbed by the higher proportion of water in the Southern Hemisphere.|earth
The Moon is a relatively large, terrestrial, planet-like natural satellite, with a diameter about one-quarter of Earth's|earth
It is the largest moon in the Solar System relative to the size of its planet, although Charon is larger relative to the dwarf planet Pluto|earth
"The natural satellites of other planets are also referred to as ""moons"", after Earth's"|earth
The most widely accepted theory of the Moon's origin, the giant-impact hypothesis, states that it formed from the collision of a Mars-size protoplanet called Theia with the early Earth|earth
This hypothesis explains (among other things) the Moon's relative lack of iron and volatile elements and the fact that its composition is nearly identical to that of Earth's crust.The gravitational attraction between Earth and the Moon causes tides on Earth|earth
The same effect on the Moon has led to its tidal locking|earth
its rotation period is the same as the time it takes to orbit Earth|earth
As a result, it always presents the same face to the planet|earth
As the Moon orbits Earth, different parts of its face are illuminated by the Sun, leading to the lunar phases|earth
Due to their tidal interaction, the Moon recedes from Earth at the rate of approximately 38 mm/a (1.5 in/year)|earth
Over millions of years, these tiny modifications—and the lengthening of Earth's day by about 23 µs/yr—add up to significant changes|earth
During the Ediacaran period, for example, (approximately 620 Ma) there were 400±7 days in a year, with each day lasting 21.9±0.4 hours.The Moon may have dramatically affected the development of life by moderating the planet's climate|earth
Paleontological evidence and computer simulations show that Earth's axial tilt is stabilized by tidal interactions with the Moon|earth
Some theorists think that without this stabilization against the torques applied by the Sun and planets to Earth's equatorial bulge, the rotational axis might be chaotically unstable, exhibiting large changes over millions of years, as is the case for Mars, though this is disputed.Viewed from Earth, the Moon is just far enough away to have almost the same apparent-sized disk as the Sun|earth
The angular size (or solid angle) of these two bodies match because, although the Sun's diameter is about 400 times as large as the Moon's, it is also 400 times more distant|earth
This allows total and annular solar eclipses to occur on Earth.|earth
Earth's co-orbital asteroids population consists of quasi-satellites, objects with a horseshoe orbit and trojans|earth
There are at least five quasi-satellites, including 469219 Kamoʻoalewa|earth
A trojan asteroid companion, 2010 TK7, is librating around the leading Lagrange triangular point, L4, in Earth's orbit around the Sun|earth
The tiny near-Earth asteroid 2006 RH120 makes close approaches to the Earth–Moon system roughly every twenty years|earth
During these approaches, it can orbit Earth for brief periods of time.As of April 2020, there are 2,666 operational, human-made satellites orbiting Earth|earth
There are also inoperative satellites, including Vanguard 1, the oldest satellite currently in orbit, and over 16,000 pieces of tracked space debris|earth
Earth's largest artificial satellite is the International Space Station.|earth
The abundance of water on Earth's surface is a unique feature that distinguishes it from other planets in the Solar System|earth
Earth's hydrosphere consists chiefly of the oceans, but technically includes all water surfaces in the world, including inland seas, lakes, rivers, and underground waters down to a depth of 2,000 m (6,600 ft)|earth
The mass of the oceans is approximately 1.35×1018 metric tons or about 1/4400 of Earth's total mass|earth
The oceans cover an area of 361.8 million km2 (139.7 million sq mi) with a mean depth of 3,682 m (12,080 ft), resulting in an estimated volume of 1.332 billion km3 (320 million cu mi)|earth
If all of Earth's crustal surface were at the same elevation as a smooth sphere, the depth of the resulting world ocean would be 2.7 to 2.8 km (1.68 to 1.74 mi)|earth
About 97.5% of the water is saline; the remaining 2.5% is fresh water|earth
Most fresh water, about 68.7%, is present as ice in ice caps and glaciers.In Earth's coldest regions, snow survives over the summer and changes into ice|earth
This accumulated snow and ice eventually forms into glaciers, bodies of ice that flow under the influence of their own gravity|earth
Alpine glaciers form in mountainous areas, whereas vast ice sheets form over land in polar regions|earth
The flow of glaciers erodes the surface changing it dramatically, with the formation of U-shaped valleys and other landforms|earth
Sea ice in the Arctic covers an area about as big as the United States, although it is quickly retreating as a consequence of climate change.The average salinity of Earth's oceans is about 35 grams of salt per kilogram of seawater (3.5% salt)|earth
Most of this salt was released from volcanic activity or extracted from cool igneous rocks|earth
The oceans are also a reservoir of dissolved atmospheric gases, which are essential for the survival of many aquatic life forms|earth
Sea water has an important influence on the world's climate, with the oceans acting as a large heat reservoir|earth
Shifts in the oceanic temperature distribution can cause significant weather shifts, such as the El Niño–Southern Oscillation.|earth
The atmospheric pressure at Earth's sea level averages 101.325 kPa (14.696 psi), with a scale height of about 8.5 km (5.3 mi)|earth
A dry atmosphere is composed of 78.084% nitrogen, 20.946% oxygen, 0.934% argon, and trace amounts of carbon dioxide and other gaseous molecules|earth
Water vapor content varies between 0.01% and 4% but averages about 1%|earth
The height of the troposphere varies with latitude, ranging between 8 km (5 mi) at the poles to 17 km (11 mi) at the equator, with some variation resulting from weather and seasonal factors.Earth's biosphere has significantly altered its atmosphere|earth
Oxygenic photosynthesis evolved 2.7 Gya, forming the primarily nitrogen–oxygen atmosphere of today|earth
This change enabled the proliferation of aerobic organisms and, indirectly, the formation of the ozone layer due to the subsequent conversion of atmospheric O2 into O3|earth
The ozone layer blocks ultraviolet solar radiation, permitting life on land|earth
Other atmospheric functions important to life include transporting water vapor, providing useful gases, causing small meteors to burn up before they strike the surface, and moderating temperature|earth
This last phenomenon is known as the greenhouse effect|earth
trace molecules within the atmosphere serve to capture thermal energy emitted from the ground, thereby raising the average temperature|earth
Water vapor, carbon dioxide, methane, nitrous oxide, and ozone are the primary greenhouse gases in the atmosphere|earth
Without this heat-retention effect, the average surface temperature would be −18 °C (0 °F), in contrast to the current +15 °C (59 °F), and life on Earth probably would not exist in its current form.|earth
Earth's atmosphere has no definite boundary, gradually becoming thinner and fading into outer space|earth
Three-quarters of the atmosphere's mass is contained within the first 11 km (6.8 mi) of the surface; this lowest layer is called the troposphere|earth
